date,time,temperature_2m,temp_f
2026-06-25,2026-06-25T11:15,25.3,77.5
2026-06-26,2026-06-26T03:30,16.0,60.8
2026-06-26,2026-06-26T10:00,23.7,74.7
2026-06-26,2026-06-26T10:15,24.1,75.4
2026-06-26,2026-06-26T10:30,23.7,74.7
2026-06-26,2026-06-26T13:15,27.3,81.1
2026-06-26,2026-06-26T16:45,27.1,80.8
2026-06-27,2026-06-27T05:00,14.7,58.5
2026-06-27,2026-06-27T13:30,25.9,78.6
2026-06-28,2026-06-28T01:30,15.0,59.0
2026-06-28,2026-06-28T09:30,19.4,66.9
2026-06-28,2026-06-28T13:45,24.4,75.9
2026-06-29,2026-06-29T06:45,13.0,55.4
2026-06-29,2026-06-29T14:45,24.1,75.4
2026-06-30,2026-06-30T03:30,11.2,52.2
2026-07-01,2026-07-01T03:45,11.2,52.2
2026-07-01,2026-07-01T11:30,21.7,71.1
2026-07-02,2026-07-02T01:30,13.7,56.7
2026-07-02,2026-07-02T11:15,23.0,73.4
2026-07-03,2026-07-03T02:45,13.1,55.6
2026-07-03,2026-07-03T10:00,22.5,72.5
